t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV,Man
0.000000000000000000e+00,6.000000000000000000e+01,1.097328464296937369e+02,-1.546748355141035915e+02,1.049419890844098546e+02,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000001421e+01,1.098285367252504869e+02,-1.502803463846908585e+02,1.004518096594403858e+02,0.000000000000000000e+00,5.985000000000000142e+01,2.312199999999999989e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.999999999999998579e+01,1.097328464296937369e+02,-1.457074896244825482e+02,9.597464319478879702e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.999999999999998579e+01,1.097328464296937369e+02,-1.415173055613602173e+02,9.178445913166646619e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000001421e+01,1.097328464296937369e+02,-1.375100619281096215e+02,8.777721549841589876e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000001421e+01,1.097328464296937369e+02,-1.336777716768165760e+02,8.394492524712285331e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000000e+01,1.097328464296937369e+02,-1.300127964683483128e+02,8.027995003865457591e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000000e+01,1.097328464296937369e+02,-1.265078314479783046e+02,7.677498501828456767e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.000000000000000000e+01,1.097328464296937369e+02,-1.231558906856964200e+02,7.342304425600268303e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.000000000000000000e+01,1.097328464296937369e+02,-1.199502932521845935e+02,7.021744682249085656e+01,0.000000000000000000e+00,5.985000000000000142e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.000000000000000000e+00
